Ticker_Origen,Ticker_Destino,Correlacion
BCO,BCO,1.0
BND,BCO,0.09987961304101221
EC,BCO,0.23194689328152943
GLD,BCO,0.06040031255413371
QQQ,BCO,0.41889143091402514
BCO,BND,0.09987961304101221
BND,BND,1.0
EC,BND,-0.0039136411346083625
GLD,BND,0.29290844118224046
QQQ,BND,0.1961961065712038
BCO,EC,0.23194689328152943
BND,EC,-0.0039136411346083625
EC,EC,1.0
GLD,EC,0.19128361066858643
QQQ,EC,0.21633007508036584
BCO,GLD,0.06040031255413371
BND,GLD,0.29290844118224046
EC,GLD,0.19128361066858643
GLD,GLD,1.0
QQQ,GLD,0.1251099956097739
BCO,QQQ,0.41889143091402514
BND,QQQ,0.1961961065712038
EC,QQQ,0.21633007508036584
GLD,QQQ,0.1251099956097739
QQQ,QQQ,1.0
