Dia,P5,P50,P95
1,-0.014348333063419528,0.0006427467107803508,0.015694036769566575
2,-0.020060998796071944,0.0012806724649797596,0.023153992414286756
3,-0.023861183668516,0.0019452720476537122,0.029134719558151438
4,-0.027130397216971035,0.002496885943803262,0.033436114030731205
5,-0.029893841236447036,0.0032868232548836085,0.03696405105257952
6,-0.032097797073408506,0.003914839812730886,0.04124360118160196
7,-0.03401131631379709,0.004456487959759392,0.0443497877120019
8,-0.03637334739407104,0.0051644362382460285,0.048360162653249904
9,-0.0395257664077746,0.0053779443203216815,0.051433224067457456
10,-0.04094807031582462,0.006239435135728222,0.054298127245518586
11,-0.04259389533770849,0.00710579386004484,0.05757168664463156
12,-0.04396410537683338,0.007937014509959095,0.060686846123370254
13,-0.046105112878649365,0.007937777177574601,0.06408756989272363
14,-0.046996914498205325,0.008178650049267988,0.06591736224083544
15,-0.04788428648792374,0.009091987407270352,0.06870460134970433
16,-0.04890130519037108,0.009313744626743725,0.07215099372249491
17,-0.051104834485967386,0.009837604908519704,0.07502033719067422
18,-0.051880741957260654,0.010465447455373367,0.07686572428516313
19,-0.05307805313525925,0.010976954165486719,0.07942988918017356
20,-0.05389981766004544,0.012112159954898671,0.08172264507037938
21,-0.05527179396914071,0.011969269377503311,0.08409233062763356
22,-0.056551582026130094,0.012651459116688857,0.0870195270447189
23,-0.05745158243366498,0.013113991736598107,0.08921584041906706
24,-0.0581028477314389,0.013848192993481279,0.09114447165177937
25,-0.058365385526021225,0.01446927600302017,0.09370168856723333
26,-0.059551166334876025,0.015313670508435129,0.09571864284642109
27,-0.06044084428627936,0.015834911919086814,0.09773587470487229
28,-0.06144509320801742,0.016574132227830884,0.09878096148053497
29,-0.0621272938799942,0.017419046377904812,0.10207047438198565
30,-0.06270959226065251,0.0180791010677126,0.105188579760699
31,-0.06321063290353852,0.018522766814690228,0.10690307611907704
32,-0.0639368472145467,0.019282580837945762,0.10928438672019723
33,-0.06477333915680962,0.019321784720339075,0.11147794726729006
34,-0.06520491716144956,0.020225162569209143,0.11345529286969297
35,-0.06638881950183605,0.020328587543951948,0.11609146282717976
36,-0.06727704261119685,0.02144169186168854,0.11789684188423752
37,-0.06749103924890064,0.021797654480305906,0.11970600079851831
38,-0.06831061893463118,0.022349333367289836,0.12054212182647306
39,-0.06838392871713049,0.022882753133954492,0.12318555762005763
40,-0.06829754849466357,0.023446615391119474,0.12593985591031273
41,-0.06922906980425257,0.024329853241960353,0.12770858469657517
42,-0.06938954668155968,0.024576346433872298,0.13006816757490586
43,-0.06923697654894563,0.02539863844109569,0.1317887248027401
44,-0.07035920404669956,0.026074128318333778,0.13369927316518482
45,-0.0697766524937229,0.0267112080157752,0.13634485875695576
46,-0.0713336613660274,0.027569190327932702,0.13764986664883483
